DateTime,Entries,UniqueIPs
1440197422,3600,606820488
1440284413,3600,606815624
1440545630,3607,606807688
1440632447,3607,606789512
1440632447,3607,606789512
1440719451,3611,606771336
1440806406,3615,606759816
1440893431,3618,606754952
1441154434,3617,606745224
1441241442,3619,606738568
1441328406,3619,606731400
1441415647,3620,606850184
1441502549,3623,606837128
1441764647,3622,606817672
1441851611,3626,606807944
1441938623,3626,606796168
1442025624,3624,606778760
1442112608,3630,606786952
1442373702,3629,606774408
1442461209,3633,606761224
