DateTime,Entries,UniqueIPs
1440268840,5967,6041
1440355836,5911,5985
1440442806,5885,5953
1440529810,5962,6038
1440616855,5949,6023
1440616855,5949,6023
1440703807,5949,6023
1440790839,5942,6016
1440877829,5945,6019
1440964806,5941,6015
1441051810,5940,6017
1441138821,6002,6078
1441225804,6065,6142
1441312828,6064,6139
1441399844,6090,6166
1441486819,6075,6153
1441573827,6089,6167
1441660830,6069,6139
1441747805,6071,6145
1441834809,6077,6158
1441921831,6046,6110
1442008805,5996,6083
1442095823,6010,6097
1442182840,6028,6134
1442269804,6012,6117
1442356808,6097,6203
